current
Date 22-05-2025
Start Time 15:21:51
Reaction time (s);Current (A)
0,0;1,510
5,0;1,510
10,0;1,490
15,0;1,500
20,0;1,500
25,0;1,490
30,0;1,490
35,0;1,510
40,0;1,500
45,0;1,500
50,0;1,510
55,0;1,500
60,0;1,510
65,0;1,500
70,0;1,500
75,1;1,510
80,1;1,510
85,1;1,510
90,1;1,500
95,1;1,490
100,1;1,500
