temperature
Date 22-05-2025
Start Time 15:21:51
Reaction time (s);Temperature (°C)
0,0;25,090
5,0;25,299
10,0;25,249
15,0;26,041
20,0;26,342
25,0;26,419
30,0;27,319
35,0;27,946
40,0;27,449
45,0;26,758
50,0;26,060
55,0;26,622
60,0;28,075
65,0;28,872
70,0;28,889
75,0;27,774
80,1;28,472
85,1;29,341
90,1;29,111
95,1;30,350
100,1;29,861
