temperature
Date 20-05-2025
Start Time 15:02:51
Reaction time (s);Temperature (°C)
0,0;0,000
0,0;0,000
5,0;0,000
10,0;0,000
15,0;0,000
20,0;0,000
25,0;0,000
30,0;0,000
