temperature
Date 20-05-2025
Start Time 14:49:27
Reaction time (s);Temperature (°C)
0,0;0,000
0,0;0,000
5,0;0,000
10,0;0,000
15,0;0,000
20,0;0,000
25,0;0,000
30,0;0,000
35,0;0,000
40,0;0,000
45,0;0,000
50,0;0,000
55,1;0,000
60,1;0,000
65,1;0,000
