temperature
Date 22-05-2025
Start Time 15:19:33
Reaction time (s);Temperature (°C)
0,0;27,891
5,0;27,218
10,0;26,318
15,0;25,141
20,0;25,005
25,0;24,141
30,0;24,002
35,0;24,825
