current
Date 22-05-2025
Start Time 15:19:33
Reaction time (s);Current (A)
0,0;2,590
5,0;2,600
10,0;2,600
15,0;2,600
20,0;2,590
25,0;2,590
30,0;2,590
35,0;2,590
